,Unnamed: 0,Title,Search,Location,Company,detail_url
1976,3291,Junior Data Analyst,Data+analyst,"San Francisco, CA",        ThirdLove,/rc/clk?jk=a4ee028738a63544&fccid=695c46481d2992ff&vjs=3
1977,3292,2019 Internship/Co-Op - Data Analyst,Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Uber,/rc/clk?jk=afc6b2cea3ef9d09&fccid=f766f8bfbc3effb7&vjs=3
1978,3293,Junior Data Analyst,Data+analyst,"San Francisco, CA 94107 (South Of Market area)",        Good Eggs,/rc/clk?jk=b78e8e55f598ab03&fccid=cb6096d620a883d2&vjs=3
1979,3294,Hiring Data Analyst @ San Francisco Location,Data+analyst,"San Francisco, CA",        Factspan Inc,/company/Factspan-INC/jobs/Data-Analyst-Location-50b413bb26c07a76?fccid=5c8b7a3ab18498ba&vjs=3
1980,3295,Data Analyst,Data+analyst,"San Francisco, CA",        HBUS Holdco Inc,/rc/clk?jk=1cf6e62f24cf30bc&fccid=6e826acc0043d640&vjs=3
1981,3296,2019 University Graduate - Product/Data Analyst,Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Uber,/rc/clk?jk=c018f053e0808ad7&fccid=f766f8bfbc3effb7&vjs=3
1982,3297,Intern/Co-op Data Analyst - Current Students (Summer 2019),Data+analyst,"San Francisco, CA",        Zynga,/rc/clk?jk=72f799bfee76b761&fccid=f379417fa48d0010&vjs=3
1983,3298,Data Analyst,Data+analyst,"San Francisco Bay Area, CA",        Zenaide,/company/Zenaide/jobs/Data-Analyst-44d9b79107ba5c54?fccid=bb8c259c42b3b940&vjs=3
1984,3305,Data Analyst,Data+analyst,"San Francisco, CA",        Propeller Health,/rc/clk?jk=587bdf2a19920686&fccid=8497f9719cf9160d&vjs=3
1985,3306,Client Success Data Analyst,Data+analyst,"San Francisco, CA",        Collective Health,/rc/clk?jk=7b2b96696c94027b&fccid=2ae98fa5cb3d52c1&vjs=3
1986,3307,Data Analyst - Content Team,Data+analyst,"San Francisco, CA",        Twitch,/rc/clk?jk=d5a6f60e9c4cc34b&fccid=e21f6affbb4bb0b2&vjs=3
1987,3308,Data Analyst,Data+analyst,"San Francisco, CA",        eSpark,/rc/clk?jk=c37c8f5dde9be49e&fccid=9481030ff6e38069&vjs=3
1988,3309,Research Data Analyst,Data+analyst,"San Francisco, CA 94104 (Financial District area)",        University of California San Francisco,/rc/clk?jk=9f959c3c2918dc21&fccid=2a341562d64c7cdb&vjs=3
1989,3310,Data Analyst,Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Poll Everywhere,/rc/clk?jk=da705e7c9990ae63&fccid=505c3acaf6c3d543&vjs=3
1990,3311,Business Analyst Intern,Data+analyst,"San Francisco, CA",        ClickTime,/rc/clk?jk=b3e5954827d8b02b&fccid=aec5855d4cdfc6ea&vjs=3
1991,3312,Business Intelligence Data Analyst,Data+analyst,"San Francisco, CA",        Healthline Media,/rc/clk?jk=8d4ccc770232cd66&fccid=72f742afb96d75da&vjs=3
1992,3313,Data Analyst,Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Scoot Networks,/rc/clk?jk=7ec050b50c973f84&fccid=1ffd1cddbd23c68c&vjs=3
1993,3314,"Senior Data Analyst, Marketing",Data+analyst,"Oakland, CA",        Kaiser Permanente,/rc/clk?jk=f730a232ea0522cf&fccid=48ecd526e3aa3225&vjs=3
1994,3320,Data Analyst,Data+analyst,"San Francisco, CA",        Plastiq,/rc/clk?jk=cfee7071f11c861a&fccid=37ba6a2cfac6e08f&vjs=3
1995,3321,Data Analyst,Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Uber,/rc/clk?jk=cd60023ff0187a0f&fccid=f766f8bfbc3effb7&vjs=3
1996,3322,Data Analyst - Operational Excellence,Data+analyst,"San Francisco, CA",        Twitch,/rc/clk?jk=2169596623cdf810&fccid=e21f6affbb4bb0b2&vjs=3
1997,3323,"Data Analyst 3, Words with Friends",Data+analyst,"San Francisco, CA",        Zynga,/rc/clk?jk=381a8e63ab35ffb5&fccid=f379417fa48d0010&vjs=3
1998,3324,Data Analyst Intern,Data+analyst,"San Francisco, CA",        Plato HQ,/rc/clk?jk=a1e1e570003266a4&fccid=d20eb56c8249d2ea&vjs=3
1999,3325,Master Data Analyst,Data+analyst,"San Francisco, CA",        Cisco,/rc/clk?jk=7d6ce9a570760f01&fccid=dfc44f3b8c44a6db&vjs=3
2000,3326,511 Data Analyst,Data+analyst,"Oakland, CA","        Faneuil, Inc",/company/Faneuil/jobs/Data-Analyst-0dbe5777e0b642fc?fccid=f6bfeb5e457285c5&vjs=3
2001,3327,Strategy & Insights Analyst (Data Analyst),Data+analyst,"San Francisco, CA",        KeepSafe,/rc/clk?jk=d778c0ebe182e84a&fccid=2b0e26e7b7d5b4df&vjs=3
2002,3328,Quantitative Data Analyst (SF),Data+analyst,"San Francisco, CA",        Flatiron Health,/rc/clk?jk=8d3fcf643610cf57&fccid=966804bce9d82eb0&vjs=3
2003,3329,Data & Analytics Analyst,Data+analyst,"San Francisco, CA 94105 (Financial District area)",        Accenture,/rc/clk?jk=f8ebe784db2f6949&fccid=a4e4e2eaf26690c9&vjs=3
2004,3335,Data Analyst | Fortune 500 Retailer,Data+analyst,"San Francisco, CA",        BICP,/company/BICP/jobs/Data-Analyst-Fortune-Retailer-c5e777b61fb22d3d?fccid=74ad6aafaf75e1a3&vjs=3
2005,3336,Data Analyst,Data+analyst,"San Francisco, CA",        Rally Health,/rc/clk?jk=0311712c9cfe7a05&fccid=6d3b991901343184&vjs=3
2006,3337,"Data Analyst, YouTube Trust and Safety",Data+analyst,"San Bruno, CA",        SELLBYTEL Group,/company/SELLBYTEL-Group-GmbH/jobs/Data-Analyst-8e5467cfbb275264?fccid=77b195508c138560&vjs=3
2007,3338,People Data Analyst - Recruiting,Data+analyst,"San Francisco, CA",        Dropbox,/rc/clk?jk=3159def971e9f76e&fccid=8510f9bc3a085f8e&vjs=3
2008,3339,Data Analyst WITH HIGH GROWTH STARTUP,Data+analyst,"Foster City, CA",        Scouted AI,/company/Ruvivo/jobs/Data-Analyst-High-Growth-Startup-f7afa2a89b86a30d?fccid=fc0b9a4c30445109&vjs=3
2009,3340,Business Data Analyst,Data+analyst,"South San Francisco, CA",        Hart,/rc/clk?jk=2acf695ff2c4768d&fccid=57f80814abc46766&vjs=3
2010,3341,DATA ANALYST ( Healthcare Domain ),Data+analyst,"San Francisco, CA",        Nextphase Systems,/rc/clk?jk=53cd4773de1c6061&fccid=f3aac4187a438715&vjs=3
2011,3342,"Data Analyst, Experimentation",Data+analyst,"San Francisco, CA 94111 (Financial District area)",        Sojern,/rc/clk?jk=dc997014fe65d240&fccid=1779658d5b4ae2b0&vjs=3
2012,3343,Business Operations Analyst Intern,Data+analyst,"San Francisco, CA",        Adobe,/rc/clk?jk=10e1acd22c48011a&fccid=f89deb5a97c7738a&vjs=3
